index,budget_category,name,genre1,rating,country_code,nominations,accolades,decade,runtime,months,profit,score,budget,nature_profit,genre2,female_count,genre3
4834,1,Track 29,drama,r,GBR,0.161823075755491,1.0,1980,90.0,Jul,0.05543258507155279,5.8,15.424948470398375,-1,mystery,1.0,nan
4835,1,Henry V,biography,pg-13,GBR,0.5278441381281564,0.0,1980,137.0,Nov,0.0575031125771006,7.5,16.012735135300492,1,drama,0.0,history
4836,3,Licence to Kill,action,pg-13,GBR,0.0,0.0,1980,133.0,Jul,0.10193506961725304,6.7,17.281246460764002,1,adventure,1.0,thriller
4837,1,Scandal,drama,r,GBR,0.161823075755491,0.0,1980,106.0,Apr,0.05773389515006977,6.4,15.761420707019587,1,history,2.0,nan
4838,1,For Queen & Country,action,r,GBR,0.23706652102292547,1.0,1980,105.0,May,0.055888450557889914,5.6,15.068273526459642,-1,crime,0.0,drama
4839,0,Stepfather II: Make Room for Daddy,horror,r,GBR,0.0,0.0,1980,93.0,Nov,0.05709085333368504,5.6,14.22097566607244,1,thriller,2.0,nan
4840,2,The Rainbow,action,r,GBR,0.0,0.0,1980,113.0,May,0.05291397380010571,6.2,16.299381504930555,-1,drama,2.0,romance
4841,2,State of Grace,action,r,GBR,0.0,0.0,1990,134.0,Sep,0.05127226124483085,7.2,16.70588231586044,-1,crime,0.0,drama
4843,0,Hardware,sci-fi,r,GBR,0.35320448568276447,0.0,1990,94.0,Sep,0.05861127681477401,5.9,14.22097566607244,1,thriller,1.0,nan
4844,3,The Sheltering Sky,adventure,r,GBR,0.485469227266473,6.0,1990,138.0,Dec,0.04880280922137853,6.7,17.034386382832476,-1,drama,1.0,nan
4845,1,The Boyfriend School,comedy,pg-13,GBR,0.0,0.0,1990,101.0,Sep,0.055086803314291624,5.7,15.717618084361195,-1,romance,2.0,nan
4846,2,Everybody Wins,drama,r,GBR,0.0,0.0,1990,97.0,Jan,0.05071627731296414,5.1,16.759949537130716,-1,mystery,1.0,thriller
4847,1,Barton Fink,comedy,r,GBR,0.6236741976379357,0.0,1990,116.0,Aug,0.05605565405833295,7.6,16.012735135300492,-1,drama,1.0,thriller
4848,3,Highlander II: The Quickening,action,r,GBR,0.0,3.0,1990,91.0,Nov,0.051866391970020756,4.2,17.216707939626428,-1,adventure,1.0,fantasy
4849,1,Under Suspicion,crime,r,GBR,0.0,0.0,1990,99.0,Feb,0.054996330113116686,6.4,15.60727002719233,-1,drama,1.0,thriller
4850,1,The Princess and the Goblin,animation,g,GBR,0.0,0.0,1990,82.0,Jun,0.054231914336304456,6.7,16.11809565095832,-1,adventure,1.0,comedy
4851,2,A Kiss Before Dying,crime,r,GBR,0.23706652102292547,0.0,1990,94.0,Apr,0.05723872913995971,5.7,16.523560759066484,1,drama,1.0,mystery
4852,1,A Rage in Harlem,comedy,r,GBR,0.0,0.0,1990,115.0,May,0.05796453431947334,5.9,15.89495209964411,1,crime,1.0,nan
