,primaryName,birthYear,deathYear,primaryProfession
368,Matt Dillon,1964,\N,"actor,art_department,director"
370,Ami Dolenz,1969,\N,"actress,producer,miscellaneous"
371,Amanda Donohoe,1962,\N,"actress,producer"
373,Brad Dourif,1950,\N,actor
374,Robert Downey Jr.,1965,\N,"actor,producer,soundtrack"
375,Fran Drescher,1957,\N,"writer,actress,producer"
376,Richard Dreyfuss,1947,\N,"actor,producer,soundtrack"
377,Minnie Driver,1970,\N,"actress,soundtrack,producer"
378,Kirsten Dunst,1982,\N,"actress,producer,soundtrack"
379,Robert Duvall,1931,\N,"actor,producer,soundtrack"
380,Anthony Edwards,1962,\N,"actor,producer,director"
382,Jennifer Ehle,1969,\N,actress
383,Danny Elfman,1953,\N,"music_department,soundtrack,composer"
384,Sam Elliott,1944,\N,"actor,producer,soundtrack"
386,Robert Englund,1947,\N,"actor,miscellaneous,director"
387,R. Lee Ermey,1944,2018,"actor,miscellaneous,producer"
388,Emilio Estevez,1962,\N,"actor,director,producer"
390,Rupert Everett,1959,\N,"actor,soundtrack,producer"
391,Morgan Fairchild,1950,\N,"actress,soundtrack,producer"
392,Peter Falk,1927,2011,"actor,producer,soundtrack"
393,Chris Farley,1964,1997,"actor,soundtrack,stunts"
394,Terry Farrell,1963,\N,actress
395,Farrah Fawcett,1947,2009,"actress,producer,soundtrack"
396,Corey Feldman,1971,\N,"actor,producer,soundtrack"
397,Sally Field,1946,\N,"actress,producer,soundtrack"
399,Linda Fiorentino,1958,\N,"actress,soundtrack"
400,Laurence Fishburne,1961,\N,"actor,producer,writer"
401,Carrie Fisher,1956,2016,"actress,miscellaneous,soundtrack"
402,Bridget Fonda,1964,\N,"actress,soundtrack"
403,Jane Fonda,1937,\N,"actress,producer,soundtrack"
404,Michelle Forbes,1965,\N,actress
406,Vivica A. Fox,1964,\N,"actress,producer,soundtrack"
407,Jonathan Frakes,1952,\N,"actor,director,producer"
408,Brendan Fraser,1968,\N,"actor,producer,soundtrack"
409,Stephen Fry,1957,\N,"actor,writer,producer"
410,Edward Furlong,1977,\N,"actor,producer,soundtrack"
411,Andy Garcia,1956,\N,"actor,producer,soundtrack"
412,Janeane Garofalo,1964,\N,"actress,writer,producer"
413,Teri Garr,1947,\N,"actress,soundtrack"
414,Jami Gertz,1965,\N,"actress,producer,executive"
415,Terry Gilliam,1940,\N,"writer,actor,animation_department"
416,Crispin Glover,1964,\N,"actor,soundtrack,producer"
417,Danny Glover,1946,\N,"actor,producer,director"
419,Valeria Golino,1965,\N,"actress,producer,soundtrack"
420,Cuba Gooding Jr.,1968,\N,"actor,soundtrack,producer"
421,John Goodman,1952,\N,"actor,soundtrack,producer"
423,Hugh Grant,1960,\N,"actor,soundtrack"
425,Jennifer Grey,1960,\N,"actress,soundtrack"
426,Pam Grier,1949,\N,"actress,soundtrack,writer"
428,Melanie Griffith,1957,\N,"actress,producer"
429,Steve Guttenberg,1958,\N,"actor,producer,soundtrack"
431,Gene Hackman,1930,\N,"actor,soundtrack,producer"
432,Corey Haim,1971,2010,"actor,producer,soundtrack"
433,Mark Hamill,1951,\N,"actor,soundtrack,producer"
434,Daryl Hannah,1960,\N,"actress,producer,director"
436,Woody Harrelson,1961,\N,"actor,producer,soundtrack"
437,Ed Harris,1950,\N,"actor,producer,director"
438,Neil Patrick Harris,1973,\N,"actor,soundtrack,producer"
440,Noah Hathaway,1971,\N,"actor,miscellaneous"
441,Rutger Hauer,1944,2019,"actor,producer,director"
442,Goldie Hawn,1945,\N,"actress,producer,soundtrack"
443,Glenne Headly,1955,2017,actress
444,Dan Hedaya,1940,\N,"actor,soundtrack"
445,Mariel Hemingway,1961,\N,"actress,producer,soundtrack"
446,Marilu Henner,1952,\N,"actress,miscellaneous,producer"
447,Lance Henriksen,1940,\N,"actor,producer,miscellaneous"
448,Natasha Henstridge,1974,\N,"actress,producer,soundtrack"
449,Philip Seymour Hoffman,1967,2014,"actor,producer,soundtrack"
450,Gaby Hoffmann,1982,\N,"actress,soundtrack,director"
451,Lauren Holly,1963,\N,"actress,producer"
452,Ian Holm,1931,2020,"actor,soundtrack,animation_department"
453,Dennis Hopper,1936,2010,"actor,director,writer"
455,Holly Hunter,1958,\N,"actress,producer,soundtrack"
456,John Hurt,1940,2017,"actor,soundtrack"
457,William Hurt,1950,2022,"actor,producer"
458,Timothy Hutton,1960,\N,"actor,producer,director"
459,Jeremy Irons,1948,\N,"actor,soundtrack,producer"
460,Michael Ironside,1950,\N,"actor,producer,writer"
461,Kate Jackson,1948,\N,"actress,producer,director"
462,Famke Janssen,1964,\N,"actress,writer,director"
466,Don Johnson,1949,\N,"actor,producer,soundtrack"
467,Lynn-Holly Johnson,1958,\N,"actress,director"
468,James Earl Jones,1931,\N,"actor,soundtrack"
469,Jeffrey Jones,1946,\N,"actor,soundtrack"
470,Raul Julia,1940,1994,"actor,soundtrack"
472,Diane Keaton,1946,\N,"actress,producer,soundtrack"
473,Michael Keaton,1951,\N,"actor,producer,soundtrack"
474,Patsy Kensit,1968,\N,"actress,soundtrack"
475,Sally Kirkland,1941,\N,"actress,producer,miscellaneous"
476,Mia Kirshner,1975,\N,actress
477,Tawny Kitaen,1961,2021,"actress,producer"
479,Elias Koteas,1961,\N,"actor,producer"
480,Alice Krige,1954,\N,"actress,producer,writer"
481,Sylvia Kristel,1952,2012,"actress,soundtrack,director"
482,Christopher Lambert,1957,\N,"actor,producer,writer"
485,Heather Langenkamp,1964,\N,"actress,special_effects,make_up_department"
487,Brandon Lee,1965,1993,"actor,miscellaneous"
488,Christopher Lee,1922,2015,"actor,soundtrack,producer"
489,Spike Lee,1957,\N,"director,producer,writer"
490,John Leguizamo,1964,\N,"actor,writer,producer"
491,Jennifer Jason Leigh,1962,\N,"actress,producer,soundtrack"
492,Jack Lemmon,1925,2001,"actor,soundtrack,producer"
493,Robert Sean Leonard,1969,\N,"actor,soundtrack"
494,Téa Leoni,1966,\N,"actress,producer"
495,Juliette Lewis,1973,\N,"actress,soundtrack,director"
497,Matthew Lillard,1970,\N,"actor,producer,soundtrack"
498,Bai Ling,1966,\N,"actress,producer,writer"
